symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
KOTAKBANK,124173,124111,62,0.05,33001,49111.6024,20957814940,52501.3018,3389.6994,376
JIOFIN,105051,105045,6,0.01,19675,22514.85791,9126504485,24493.12151,1978.2636,237
NESTLEIND,30591,30604,-13,-0.04,9087,22448.5891,4074965520,22956.5943,508.0052,1391
GRASIM,69299,69334,-35,-0.05,7997,13423.74557,5063382842,14011.474,587.72842,3092
FORTIS,16682,16695,-13,-0.08,12381,14225.66331,7828130253,15540.24334,1314.58003,961
M&M,152067,152207,-140,-0.09,37075,40505.49756,19264308470,44334.94226,3829.4447,3039
HDFCLIFE,75185,75279,-94,-0.12,36452,28479.53966,21475502950,31904.10916,3424.5695,574
IRFC,30638,30687,-49,-0.16,12150,11234.07913,4080661226,12080.76139,846.68226,96
TVSMOTOR,77707,77843,-136,-0.17,14239,24944.77867,6203738469,26204.80336,1260.02469,3377
DELHIVERY,19841,19881,-40,-0.2,4323,8332.75263,3297219114,8873.42002,540.66739,444
CIPLA,63376,63520,-144,-0.23,17690,12788.96916,8165905477,14044.00393,1255.03477,1402
SHREECEM,19287,19345,-58,-0.3,3376,8273.0961,1296394218,8477.97578,204.87968,24110
ASIANPAINT,77961,78202,-241,-0.31,37315,27008.7637,22931711160,30840.7753,3832.0116,2677
SOLARINDS,23961,24043,-82,-0.34,10178,15776.58127,7860251203,17243.8433,1467.26203,18415
ICICIBANK,306216,307430,-1214,-0.39,123435,151826.69887,95821024145,165431.88032,13605.18145,1261
OFSS,26150,26273,-123,-0.47,10917,13036.25843,6911790464,14454.37057,1418.11214,9968
ADANIENSOL,42933,43140,-207,-0.48,28644,82323.10395,23029109534,93013.74929,10690.64534,1578
KAYNES,70681,71025,-344,-0.48,576,390.40308,156878918,402.94226,12.53918,3124
EXIDEIND,29612,29782,-170,-0.57,9045,13904.0928,5363213688,15253.60968,1349.51688,399
JSWSTEEL,74867,75311,-444,-0.59,16240,32517.49617,11133376911,34370.92278,1853.42661,1286
HYUNDAI,34785,35078,-293,-0.84,8672,23908.77505,2308267898,24367.14904,458.37398,1905
UNIONBANK,40618,41019,-401,-0.98,20259,35466.24003,12018904897,38390.35526,2924.11522,167
MOTHERSON,36615,36989,-374,-1.01,6533,18814.04802,4100559486,19753.74588,939.69786,143
ADANIPORTS,68529,69274,-745,-1.08,37661,45053.41645,28684098809,50612.32454,5558.90809,1826
PAGEIND,24684,24979,-295,-1.18,6079,7940.24344,2854625411,8366.06005,425.81661,38300
FORCEMOT,18348,18591,-243,-1.31,10118,6315.27079,4134411195,7307.25775,991.98695,18250
VOLTAS,44000,44643,-643,-1.44,27588,24616.43231,11365150620,27549.26351,2932.8312,1301
INDIGO,85554,86828,-1274,-1.47,42583,43517.09044,25251842832,47941.14376,4424.05332,4473
NHPC,52342,53158,-816,-1.54,27389,24837.50077,11047531096,26806.96423,1969.46346,74
BDL,39772,40590,-818,-2.02,12916,10191.76097,4694229197,11305.72794,1113.96697,1207
MARICO,18447,18872,-425,-2.25,3839,12127.9452,2615952132,12481.58652,353.64132,810
MAXHEALTH,43828,44885,-1057,-2.35,13608,9634.69269,6291335872,10787.20891,1152.51622,977
COALINDIA,130912,134076,-3164,-2.36,70884,59903.05455,40566074265,66227.3172,6324.26265,472
NUVAMA,5261,5418,-157,-2.9,4001,7234.425,2513619590,7871.4209,636.9959,1574
LICHSGFIN,38692,39931,-1239,-3.1,10232,21909.9364,3581146800,22576.9544,667.018,548
ADANIGREEN,56434,58272,-1838,-3.15,74316,104715.02358,57961469502,125535.8586,20820.83502,1522
AMBER,55546,57400,-1854,-3.23,2299,10395.98732,778182296,10592.31028,196.32296,7880
INDIANB,22985,24538,-1553,-6.33,30074,51470.4988,21050107820,56664.877,5194.3782,843
